time,size,cpus
0.000996829,100,1
0.001010181,100,2
0.000945092,100,4
0.000749589,100,8
0.001005651,100,10
0.001998426,100,16
0.009999753,200,1
0.002000333,200,2
0.001001359,200,4
0.001999618,200,8
0.000999452,200,10
0.002000094,200,16
0.087000133,400,1
0.011596919,400,2
0.007045747,400,4
0.004958154,400,8
0.00604415,400,10
0.005572558,400,16
0.299039126,600,1
0.034961463,600,2
0.018955947,600,4
0.016993285,600,8
0.014638425,600,10
0.015003921,600,16
0.707710982,800,1
0.124001266,800,2
0.06499982,800,4
0.04699874,800,8
0.044001103,800,10
0.041001321,800,16
1.323998214,1000,1
0.216004134,1000,2
0.112005235,1000,4
0.077999116,1000,8
0.077001334,1000,10
0.096000672,1000,16
2.406754972,1200,1
0.403002502,1200,2
0.204998971,1200,4
0.220999242,1200,8
0.227000714,1200,10
0.306998969,1200,16
3.785998584,1400,1
0.768001319,1400,2
0.426127912,1400,4
0.290118934,1400,8
0.280001641,1400,10
0.58600092,1400,16
7.108397008,1600,1
1.292782785,1600,2
0.662590266,1600,4
0.499584437,1600,8
0.704989673,1600,10
1.008750678,1600,16
9.000323058,1800,1
2.123041869,1800,2
0.993959905,1800,4
0.922997476,1800,8
0.960001708,1800,10
1.29099846,1800,16
14.16207957,2000,1
5.988000871,2000,2
3.229999066,2000,4
2.191003324,2000,8
2.025998117,2000,10
2.149000884,2000,16
30.8378253,2400,1
17.73795891,2400,2
9.264999391,2400,4
5.068001271,2400,8
4.464516402,2400,10
4.752999784,2400,16
54.70534325,2800,1
37.8740046,2800,2
19.59187651,2800,4
11.12700009,2800,8
8.956100226,2800,10
8.045000554,2800,16
116.2650442,3200,1
85.64203763,3200,2
34.7169981,3200,4
21.68377853,3200,8
18.31593061,3200,10
16.00859189,3200,16
124.9423702,3600,1
89.52023673,3600,2
46.150002,3600,4
26.38899708,3600,8
22.01051426,3600,10
19.20599628,3600,16
193.8310277,4000,1
137.1240931,4000,2
71.95492435,4000,4
38.6618588,4000,8
34.57005,4000,10
29.38535094,4000,16
257.0587289,4400,1
185.2428806,4400,2
96.97799683,4400,4
56.32100296,4400,8
45.92906737,4400,10
38.53193045,4400,16
450.1221442,5000,1
289.3767085,5000,2
148.5542104,5000,4
84.06397176,5000,8
69.98841572,5000,10
62.92553115,5000,16
